"code","address","locality","polling.places","voters","county","district"
"30373 ","Good Samaritan School","Mamba Point",2,727,"Montserrado",7
"30374 ","Godwin Prepartory School","Manba Point",3,1051,"Montserrado",7
"30375 ","National Housing Bank","Water Side",4,1574,"Montserrado",7
"30376 ","National Housing Bank","Water Side",3,1369,"Montserrado",7
"30421 ","A.g.m. High School","Buchanan Street",3,1425,"Montserrado",7
"30422 ","A.g.m. High School","Buchanan Street",4,1541,"Montserrado",7
"30423 ","Sports Commission","Sports Commission",1,412,"Montserrado",7
"30427 ","J.l. Gibson School","Gurley Street",3,1228,"Montserrado",7
"30429 ","St. Theresa Convent","Lynch/center Streets",2,801,"Montserrado",7
"30430 ","St. Theresa Convent","Lynch/center Streets",2,626,"Montserrado",7
"30431 ","J.j. Ross High School","Ashmun Street",3,1498,"Montserrado",7
"30372 ","Cathedral Catholic School","Ashmun Street",5,2271,"Montserrado",7
"30262 ","Liberia Electricity Corporation Head Office","Power Plant / West Point",4,1847,"Montserrado",7
"30424 ","St. Samuel High School","Center Street",3,1193,"Montserrado",7
"30106 ","West Point Market","Fish Town, West Point",3,1453,"Montserrado",7
"30368 ","Newport High School","Randall - Newport Streets",5,2317,"Montserrado",7
"30371 ","Cathedral Catholic School","Ashmun Street",5,2440,"Montserrado",7
"30048 ","M.v. Massaquoi","Central West Point",3,1300,"Montserrado",7
"30050 ","Our Lady Star Of The Sea","Central West Point",1,494,"Montserrado",7
"30047 ","M.v. Massaquoi","Central West Point",3,1155,"Montserrado",7
"30107 ","John Kofi Asmeh Umc","Fish Town, West Point",2,572,"Montserrado",7
"30142 ","West Point Administrative Building","Grandcess Yard",3,1128,"Montserrado",7
