"TOR-THOMPSON, Margaret J. (FAPL) ",,,1,"WOHEEL, SR., Roland Kollie (UP) ",,32,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,1,,"Valid Votes: ",704,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,7,,"Invalid Ballots: ",5,,,,,,,,
"WEAH, George Manneh (CDC) ",,,170,,"Valid Votes + Invalid Ballots: ",709,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,358,,,,,,,,,,,
,"Invalid Votes: ",,20,,,,,,,,,,,
,"Total Votes: ",,378,,,,,,,,,,,
"Precinct: 30007 ","Polling Place: ",2,,,,,"Total: 438 ","Age 18-27: 47.7% ","Age 48-57: ",,"5.3%",,,
"Sarah barclay Sr High Sc, Virginia, Montserrado ",,,,,,,"Males: 47.5% Females: 52.5% ","Age 28-37: 21.5% Age 38-47: 19.6% ","Age 58-67: Age 68+: ",,"3.9%2.1%",,,
,,,,,"Senate ",,,"House of Representatives",,,,,,
"President and Vice-President ",,,,,"Montserrado ",,"Montserrado, Electoral District 13",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,2,"BILITY, Losene F. (Ind) ",,3,"BAI, Etmonia Musu (LP) ",,,,,,18,
"BRUMSKINE, Charles Walker (LP) ",,,36,"BRENT, Hannah G. (CDC) ",,105,"BAYSAH, Karziel Coruboi (NRP) ",,,,,,9,
"CONNEH, Sekou Damate (PRODEM) ",,,0,"CAESAR, Ruth Gibson (Ind) ",,20,"CASSELL, SR., Shadrick B. (UP) ",,,,,,47,
