"KPOTO, Robert Momo (ULD) ",,,"1 SHERMAN, Rudolph Emmett (COTOL) ","SHERMAN, Rudolph Emmett (COTOL) ",,58,"Invalid Votes: ",,,,,,30,
"KROMAH, Alhaji G. V. (ALCOP) ",,,2,"Valid Votes: ",,487,"Total Votes: ",,,,,,356,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,26,"Invalid Ballots: ",,15,,,,,,,,
"MORLU, John Sembe (UDA) ",,,1,"Valid Votes + Invalid Ballots: ",,502,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,1,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,236,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,2,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,2,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,2,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,16,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,336,,,,,,,,,,,
,"Invalid Votes: ",,22,,,,,,,,,,,
,"Total Votes: ",,358,,,,,,,,,,,
"Precinct: 12001 ","Polling Place: ",5,,,,,"Total: 527 Age 18-27: 36.4% ","Age 48-57: ",,,"9.9%",,,
"Sanje Public School Building , Sanje Tow n, Grand Cape Mount ",,,,,,,"Males: 45.4% Age 28-37: 22.6% Females: 54.6% Age 38-47: 16.5% ","Age 58-67: Age 68+: ",,,"9.3%5.3%",,,
,,,,"Senate ",,,"House of Representatives",,,,,,,
"President and Vice-President ",,,,"Grand Cape Mount ",,,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,"2 BONDOKAI, III, J. Siafa (NDPL) ","BONDOKAI, III, J. Siafa (NDPL) ",,8,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,4,
"BRUMSKINE, Charles Walker (LP) ",,,"18 DAVID, Mambu George (UP) ","DAVID, Mambu George (UP) ",,8,"KIAHON, Clarence C. (LDP) ",,,,,,9,
"CONNEH, Sekou Damate (PRODEM) ",,,"1 FAHNBULLEH, Ma-John T. (LP) ","FAHNBULLEH, Ma-John T. (LP) ",,18,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,38,
"DIVINE, SR., Samuel Raymond (Ind) ",,,"1 FREEMAN, Arthur Bamoley (LDP) ","FREEMAN, Arthur Bamoley (LDP) ",,5,"MOHAMMED, J. Dinne (NRP) ",,,,,,3,
"FARHAT, David M. (FDP) ",,,"2 GBANA, Edison T. Vaanii (LP) ","GBANA, Edison T. Vaanii (LP) ",,15,"SMITH, Oliver Siafa (CDC) ",,,,,,7,
"JALLAH, Armah Zolu (NPL) ",,,"0 GRAY, M. Kdaiia (CDC) ","GRAY, M. Kdaiia (CDC) ",,4,"SONII, Baindu  (LP) ",,,,,,11,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,"15 KAMARA, Jenneh M. (CDC) ","KAMARA, Jenneh M. (CDC) ",,12,"SONII, Mambu Mahamudu (Ind) ",,,,,,181,
"KIADII, George Momodu (NATVIPOL) ",,,"6 MASSALAY, Abel Momolu (NPP) ","MASSALAY, Abel Momolu (NPP) ",,269,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,60,
"KIEH, JR., George Klay (NDM) ",,,"1 MOMO, James Kormah (NPP) ","MOMO, James Kormah (NPP) ",,52,"ZOLUDUA, SR., Edwin Boakai (ULD) ",,,,,,20,
"KORTO, Joseph D. Z. (LERP) ",,,"1 PAASEWE, Varney  (COTOL) ","PAASEWE, Varney  (COTOL) ",,72,"Valid Votes: ",,,,,,333,
"KPOTO, Robert Momo (ULD) ",,,"0 SHERMAN, Rudolph Emmett (COTOL) ","SHERMAN, Rudolph Emmett (COTOL) ",,73,"Invalid Votes: ",,,,,,55,
"KROMAH, Alhaji G. V. (ALCOP) ",,,2,"Valid Votes: ",,536,"Total Votes: ",,,,,,388,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,27,"Invalid Ballots: ",,8,,,,,,,,
"MORLU, John Sembe (UDA) ",,,2,"Valid Votes + Invalid Ballots: ",,544,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,1,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,272,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,0,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,3,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,30,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,1,,,,,,,,,,,
,"Valid Votes: ",,385,,,,,,,,,,,
,"Invalid Votes: ",,11,,,,,,,,,,,
,"Total Votes: ",,396,,,,,,,,,,,
"Precinct: 12002 ","Polling Place: ",1,,,,,"Total: 375 Age 18-27: 32.8% ","Age 48-57: ",,,"13.3%",,,
"Jundu Public school, Jundu Tow n, Grand Cape Mount ",,,,,,,"Males: 44.0% Age 28-37: 20.0% Females: 56.0% Age 38-47: 14.4% ","Age 58-67: Age 68+: ",,,"11.2%8.3%",,,
,,,,,"Senate ",,"House of Representatives",,,,,,,
"President and Vice-President ",,,,,"Grand Cape Mount ",,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,0,"BONDOKAI, III, J. Siafa (NDPL) ",,3,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,27,
"BRUMSKINE, Charles Walker (LP) ",,,1,"DAVID, Mambu George (UP) ",,4,"KIAHON, Clarence C. (LDP) ",,,,,,1,
"CONNEH, Sekou Damate (PRODEM) ",,,0,"FAHNBULLEH, Ma-John T. (LP) ",,11,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,67,
"DIVINE, SR., Samuel Raymond (Ind) ",,,0,"FREEMAN, Arthur Bamoley (LDP) ",,0,"MOHAMMED, J. Dinne (NRP) ",,,,,,1,
"FARHAT, David M. (FDP) ",,,0,"GBANA, Edison T. Vaanii (LP) ",,5,"SMITH, Oliver Siafa (CDC) ",,,,,,2,
"JALLAH, Armah Zolu (NPL) ",,,0,"GRAY, M. Kdaiia (CDC) ",,3,"SONII, Baindu  (LP) ",,,,,,1,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,17,"KAMARA, Jenneh M. (CDC) ",,4,"SONII, Mambu Mahamudu (Ind) ",,,,,,12,
"KIADII, George Momodu (NATVIPOL) ",,,0,"MASSALAY, Abel Momolu (NPP) ",,175,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,197,
"KIEH, JR., George Klay (NDM) ",,,0,"MOMO, James Kormah (NPP) ",,102,"ZOLUDUA, SR., Edwin Boakai (ULD) ",,,,,,0,
"KORTO, Joseph D. Z. (LERP) ",,,0,"PAASEWE, Varney  (COTOL) ",,145,"Valid Votes: ",,,,,,308,
"KPOTO, Robert Momo (ULD) ",,,0,"SHERMAN, Rudolph Emmett (COTOL) ",,150,"Invalid Votes: ",,,,,,3,
"KROMAH, Alhaji G. V. (ALCOP) ",,,0,,"Valid Votes: ",602,"Total Votes: ",,,,,,311,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,9,,"Invalid Ballots: ",3,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,,"Valid Votes + Invalid Ballots: ",605,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,276,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,0,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,0,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,0,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,4,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,307,,,,,,,,,,,
,"Invalid Votes: ",,4,,,,,,,,,,,
,"Total Votes: ",,311,,,,,,,,,,,
"Precinct: 12002 ","Polling Place: ",2,,,,,"Total: 380 Age 18-27: 30.8% ","Age 48-57: ",,,"15.3%",,,
"Jundu Public school, Jundu Tow n, Grand Cape Mount ",,,,,,,"Males: 42.1% Age 28-37: 19.7% Females: 57.9% Age 38-47: 15.0% ","Age 58-67: Age 68+: ",,,"11.3%7.9%",,,
,,,,,"Senate ",,"House of Representatives",,,,,,,
"President and Vice-President ",,,,,"Grand Cape Mount ",,"Grand Cape Mount, Electoral District 3",,,,,,,
"Candidate ",,,"Votes ","Candidate ",,"Votes ","Candidate ",,,,,,"Votes",
"BARNES, Milton Nathaniel (LDP) ",,,0,"BONDOKAI, III, J. Siafa (NDPL) ",,3,"FAHNBULLEH, Ennish Lamie (UP) ",,,,,,16,
"BRUMSKINE, Charles Walker (LP) ",,,3,"DAVID, Mambu George (UP) ",,3,"KIAHON, Clarence C. (LDP) ",,,,,,3,
"CONNEH, Sekou Damate (PRODEM) ",,,0,"FAHNBULLEH, Ma-John T. (LP) ",,9,"KIAZOLU, Mohammed Abdurahman (NPP) ",,,,,,51,
"DIVINE, SR., Samuel Raymond (Ind) ",,,0,"FREEMAN, Arthur Bamoley (LDP) ",,2,"MOHAMMED, J. Dinne (NRP) ",,,,,,0,
"FARHAT, David M. (FDP) ",,,0,"GBANA, Edison T. Vaanii (LP) ",,11,"SMITH, Oliver Siafa (CDC) ",,,,,,2,
"JALLAH, Armah Zolu (NPL) ",,,0,"GRAY, M. Kdaiia (CDC) ",,3,"SONII, Baindu  (LP) ",,,,,,1,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,13,"KAMARA, Jenneh M. (CDC) ",,2,"SONII, Mambu Mahamudu (Ind) ",,,,,,16,
"KIADII, George Momodu (NATVIPOL) ",,,0,"MASSALAY, Abel Momolu (NPP) ",,176,"WARE, SR., Mohammed Abraham (COTOL) ",,,,,,224,
"KIEH, JR., George Klay (NDM) ",,,0,"MOMO, James Kormah (NPP) ",,86,"ZOLUDUA, SR., Edwin Boakai (ULD) ",,,,,,2,
"KORTO, Joseph D. Z. (LERP) ",,,0,"PAASEWE, Varney  (COTOL) ",,128,"Valid Votes: ",,,,,,315,
"KPOTO, Robert Momo (ULD) ",,,0,"SHERMAN, Rudolph Emmett (COTOL) ",,147,"Invalid Votes: ",,,,,,8,
"KROMAH, Alhaji G. V. (ALCOP) ",,,2,,"Valid Votes: ",570,"Total Votes: ",,,,,,323,
"MASSAQUOI, Roland Chris Yarkpah (NPP) ",,,15,,"Invalid Ballots: ",2,,,,,,,,
"MORLU, John Sembe (UDA) ",,,0,,"Valid Votes + Invalid Ballots: ",572,,,,,,,,
"REEVES, Alfred Garpee (NRP) ",,,0,,,,,,,,,,,
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ",,,279,,,,,,,,,,,
"TIPOTEH, Togba-Nah  (APD) ",,,3,,,,,,,,,,,
"TOR-THOMPSON, Margaret J. (FAPL) ",,,0,,,,,,,,,,,
"TUBMAN, William Vacanarat Shadrach (RULP) ",,,1,,,,,,,,,,,
"TUBMAN, Winston A. (NDPL) ",,,1,,,,,,,,,,,
"WEAH, George Manneh (CDC) ",,,5,,,,,,,,,,,
"WOAH-TEE, Joseph Mamadee (LPL) ",,,0,,,,,,,,,,,
,"Valid Votes: ",,322,,,,,,,,,,,
,"Invalid Votes: ",,3,,,,,,,,,,,
,"Total Votes: ",,325,,,,,,,,,,,
"Precinct: 12003 ","Polling Place: ",1,,,,,"Total: 429 Age 18-27: 35.9% ","Age 48-57: ",,,"10.5%",,,
"Wangakar Public School, Wangekar Tow n, Grand Cape Mount ",,,,,,,"Males: 45.0% Age 28-37: 20.0% Females: 55.0% Age 38-47: 16.6% ","Age 58-67: Age 68+: ",,,"10.5%6.5%",,,
