"TUBMAN, William Vacanarat Shadrach (RULP) ","","",6,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",30,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",31,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",328,"","","","","","","","","",""
"",Invalid Votes: ,"",11,"","","","","","","","","",""
"",Total Votes: ,"",339,"","","","","","","","","",""
Precinct: 45001 ,Polling Place: ,5 ,"","","","",Total: 531 ,Age 18-27: 33.1% ,Age 48-57: ,"","",11.5%,""
"Central High School Bopolu Tow n, Bopolu, Gbarpolu ","","","","","","",Males: 46.9% Females: 53.1% ,Age 28-37: 25.4% Age 38-47: 18.6% ,Age 58-67: Age 68+: ,"","",6.2%5.1%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",8 ,"DUKUKY, Jestina V. (CDC) ","",74 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",58
"BRUMSKINE, Charles Walker (LP) ","","",20 ,"KOLLIE, George Blama (LP) ","",19 ,"DORLEY, Bartu Marie (NPP) ","","","","","",77
"CONNEH, Sekou Damate (PRODEM) ","","",1 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",25 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",51
"DIVINE, SR., Samuel Raymond (Ind) ","","",0 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",63 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",23
"FARHAT, David M. (FDP) ","","",2 ,"MENDS-COLE, Edward Sumo (LP) ","",59 ,"SANYON, Filiman Sekou (NRP) ","","","","","",6
"JALLAH, Armah Zolu (NPL) ","","",16 ,"NAATEHN, SR., Daniel Flomo (UP) ","",73 ,"SARNOR, Armah  (LP) ","","","","","",72
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",180 ,"SEH, William M. (COTOL) ","",81 ,"SARNOR, Momo Gornah (UP) ","","","","","",64
"KIADII, George Momodu (NATVIPOL) ","","",3 ,"TARNUE, SR., Harris Fomba (NDPL) ","",99 ,"",Valid Votes: ,"","","","",351
"KIEH, JR., George Klay (NDM) ","","",2 ,"TAWEH, Joseph Jarleakai (UP) ","",49 ,"",Invalid Votes: ,"","","","",19
"KORTO, Joseph D. Z. (LERP) ","","",0 ,"TORMETIE, Samuel Sumo (NRP) ","",90 ,"",Total Votes: ,"","","","",370
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",17,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",7 ,"",Valid Votes: ,649,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",6 ,"",Invalid Ballots: ,10,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"",Valid Votes + Invalid Ballots: ,659,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",2,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",33,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",2,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",4,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",34,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",26,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",1,"","","","","","","","","",""
"",Valid Votes: ,"",348,"","","","","","","","","",""
"",Invalid Votes: ,"",23,"","","","","","","","","",""
"",Total Votes: ,"",371,"","","","","","","","","",""
Precinct: 45002 ,Polling Place: ,1 ,"","","","",Total: 388 ,Age 18-27: 33.5% ,Age 48-57: ,"","",12.9%,""
"Palava Hut, Totoquelleh , Totoquellah, Gbarpolu ","","","","","","",Males: 46.9% Females: 53.1% ,Age 28-37: 22.9% Age 38-47: 19.3% ,Age 58-67: Age 68+: ,"","",7.5%3.9%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",16 ,"DUKUKY, Jestina V. (CDC) ","",176 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",108
"BRUMSKINE, Charles Walker (LP) ","","",2 ,"KOLLIE, George Blama (LP) ","",38 ,"DORLEY, Bartu Marie (NPP) ","","","","","",87
"CONNEH, Sekou Damate (PRODEM) ","","",3 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",43 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",17
"DIVINE, SR., Samuel Raymond (Ind) ","","",5 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",32 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",13
"FARHAT, David M. (FDP) ","","",5 ,"MENDS-COLE, Edward Sumo (LP) ","",26 ,"SANYON, Filiman Sekou (NRP) ","","","","","",5
"JALLAH, Armah Zolu (NPL) ","","",1 ,"NAATEHN, SR., Daniel Flomo (UP) ","",38 ,"SARNOR, Armah  (LP) ","","","","","",15
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",66 ,"SEH, William M. (COTOL) ","",14 ,"SARNOR, Momo Gornah (UP) ","","","","","",32
"KIADII, George Momodu (NATVIPOL) ","","",0 ,"TARNUE, SR., Harris Fomba (NDPL) ","",42 ,"",Valid Votes: ,"","","","",277
"KIEH, JR., George Klay (NDM) ","","",2 ,"TAWEH, Joseph Jarleakai (UP) ","",7 ,"",Invalid Votes: ,"","","","",31
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"TORMETIE, Samuel Sumo (NRP) ","",70 ,"",Total Votes: ,"","","","",308
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",4,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"",Valid Votes: ,490,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",2 ,"",Invalid Ballots: ,27,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",2 ,"",Valid Votes + Invalid Ballots: ,517,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",1,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",5,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",1,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",0,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",22,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",41,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",89,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",3,"","","","","","","","","",""
"",Valid Votes: ,"",269,"","","","","","","","","",""
"",Invalid Votes: ,"",41,"","","","","","","","","",""
"",Total Votes: ,"",310,"","","","","","","","","",""
Precinct: 45003 ,Polling Place: ,1 ,"","","","",Total: 396 ,Age 18-27: 39.9% ,Age 48-57: ,"","",10.9%,""
"Private House, Gbaroquai , Gbaroquai, Gbarpolu ","","","","","","",Males: 45.5% Females: 54.5% ,Age 28-37: 15.2% Age 38-47: 17.4% ,Age 58-67: Age 68+: ,"","",10.6%6.1%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
