"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,109,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,103,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,92
"WEAH, George Manneh (CDC) ",,,,20,"WEAH, George Manneh (CDC) ",,,,36,"WEAH, George Manneh (CDC) ",,,,26
,"Valid Votes: ",,,129,,"Valid Votes: ",,,139,,"Valid Votes: ",,,118
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,14
,"Total Votes: ",,,139,,"Total Votes: ",,,146,,"Total Votes: ",,,132
"Precinct: 09061 ","Polling Place ",1,,,"Precinct: 09062 ","Polling Place ",1,,,"Precinct: 09062 ","Polling Place ",2,,
"Palava Hut, Charlie Gio Tow n ",,,,,"Palava Hut, Civil Compound 2 ",,,,,"Palava Hut, Civil Compound 2",,,,
"Registered Voters: ",194,,,,"Registered Voters: ",510,,,,"Registered Voters: ",508,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,20,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,113,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,108
"WEAH, George Manneh (CDC) ",,,,46,"WEAH, George Manneh (CDC) ",,,,38,"WEAH, George Manneh (CDC) ",,,,25
,"Valid Votes: ",,,66,,"Valid Votes: ",,,151,,"Valid Votes: ",,,133
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,6
,"Total Votes: ",,,66,,"Total Votes: ",,,161,,"Total Votes: ",,,139
"Precinct: 09063 ","Polling Place ",1,,,"Precinct: 09064 ","Polling Place ",1,,,"Precinct: 09065 ","Polling Place ",1,,
"Tow n Hall, Koda Tow n ",,,,,"Palava Hut, Tepenen Tow n ",,,,,"Palava Hut, Gbehgaye Tow n",,,,
