INFO 2015-03-20 16:02:26,343: Saved Lofa, Lobobah Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21105.html
INFO 2015-03-20 16:02:27,473: Saved Lofa, Warkesu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21106.html
INFO 2015-03-20 16:02:28,560: Saved Lofa, Marverkonnedu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21107.html
INFO 2015-03-20 16:02:29,645: Saved Lofa, Gbegbedu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21108.html
INFO 2015-03-20 16:02:30,742: Saved Lofa, Kugbemai Public (round 1): http://www.necliberia.org/senate2014/pp_results/21109.html
INFO 2015-03-20 16:02:31,872: Saved Lofa, Wuomai Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21110.html
INFO 2015-03-20 16:02:32,996: Saved Lofa, Yaselahun Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21111.html
INFO 2015-03-20 16:02:35,109: Saved Lofa, Gelema Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21112.html
INFO 2015-03-20 16:02:37,219: Saved Lofa, Yassadu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21113.html
INFO 2015-03-20 16:02:39,368: Saved Lofa, Yeala Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21114.html
INFO 2015-03-20 16:02:40,490: Saved Lofa, Yelayaloe Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21115.html
INFO 2015-03-20 16:02:42,616: Saved Lofa, Zawordamai Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21116.html
INFO 2015-03-20 16:02:44,861: Saved Lofa, Johny's Town Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21117.html
INFO 2015-03-20 16:02:45,973: Saved Lofa, Zelemai Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21118.html
INFO 2015-03-20 16:02:48,073: Saved Lofa, Wozi Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21119.html
INFO 2015-03-20 16:02:49,197: Saved Lofa, Ziggida Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21120.html
INFO 2015-03-20 16:02:51,320: Saved Lofa, Blakpalasu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21121.html
INFO 2015-03-20 16:02:53,407: Saved Lofa, John's Town Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21122.html
INFO 2015-03-20 16:02:55,490: Saved Lofa, Zolowu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21123.html
INFO 2015-03-20 16:02:57,595: Saved Lofa, Zolowu Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21124.html
INFO 2015-03-20 16:02:59,701: Saved Lofa, Zorzor Central High (round 1): http://www.necliberia.org/senate2014/pp_results/21125.html
INFO 2015-03-20 16:03:01,826: Saved Lofa, Zorzor Central High (round 1): http://www.necliberia.org/senate2014/pp_results/21126.html
INFO 2015-03-20 16:03:02,932: Saved Lofa, Zorzor Luthren School (round 1): http://www.necliberia.org/senate2014/pp_results/21127.html
INFO 2015-03-20 16:03:05,038: Saved Lofa, Zorzor Market Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21128.html
INFO 2015-03-20 16:03:07,151: Saved Lofa, Karsa Gas Station (round 1): http://www.necliberia.org/senate2014/pp_results/21129.html
INFO 2015-03-20 16:03:08,262: Saved Lofa, Tenebu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21130.html
INFO 2015-03-20 16:03:09,383: Saved Lofa, Voinjama F.P. Mission School (round 1): http://www.necliberia.org/senate2014/pp_results/21131.html
